ticker,company_name,sector_raw
JSRR,JS Rental REIT,REAL ESTATE INVESTMENT TRUST
JUBS,Jubilee Spinning & Weaving Mills Ltd.,TEXTILE COMPOSITE
JVDC,Javedan Corporation Limited,PROPERTY
JVDCPS,Javedan Corporation (Pref),PROPERTY
JVDCR1,,CEMENT
KACM,Karim Cotton Mills Limited,TEXTILE SPINNING
KAKL,Kaiser Arts & Krafts Limited,TEXTILE COMPOSITE
KAPCO,Kot Addu Power Company Limited,POWER GENERATION & DISTRIBUTION
KASBM,KASB Modaraba,
KCL,Karam Ceramics Limited,GLASS & CERAMICS
KEL,K-Electric Limited,POWER GENERATION & DISTRIBUTION
KHSM,Khurshid Spinning Mills Limited,TEXTILE SPINNING
KHTC,Khyber Tobacco Company Limited,TOBACCO
KHYT,Khyber Textile Mills Limited,TEXTILE COMPOSITE
KML,Kohinoor Mills Limited,TEXTILE COMPOSITE
KOHC,Kohat Cement Company Limited,CEMENT
KOHE,Kohinoor Energy Limited,POWER GENERATION & DISTRIBUTION
KOHP,Kohinoor Power Company Limited,POWER GENERATION & DISTRIBUTION
KOHTM,Kohat Textile Mills Limited,TEXTILE SPINNING
KOIL,Kohinoor Industries Limited,TEXTILE COMPOSITE
KOSM,Kohinoor Spinning Mills Limited,TEXTILE SPINNING
KPUS,Khairpur Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES
KSBP,KSB Pumps Company Limited,ENGINEERING
KSTM,Khalid Siraj Textile Mills Limited,TEXTILE SPINNING
KTML,Kohinoor Textile Mills Limited,TEXTILE COMPOSITE
LCI,Lucky Core Industries Limited,CHEMICAL
LEUL,Leather Up Limited,LEATHER & TANNERIES
LINDE,Linde Pakistan Limited,CHEMICAL
LIVEN,Liven Pharma Limited,PHARMACEUTICALS
LMSM,Landmark Spinning Industries Limited,TEXTILE SPINNING
LOADS,Loads Limited,AUTOMOBILE PARTS & ACCESSORIES
LOTCHEM,Lotte Chemical Pakistan Limited,CHEMICAL
LPCL,Lafarge Pakistan Cement Limited,CEMENT
LPGL,Leiner Pak Gelatine Limited,CHEMICAL
LPL,Lalpir Power Limited,POWER GENERATION & DISTRIBUTION
LSECL,LSE Capital Limited.,INV. BANKS / INV. COS. / SECURITIES COS.
LSEFSL,LSE Financial Services Limited.,INV. BANKS / INV. COS. / SECURITIES COS.
LSEPL,LSE Proptech Limited,
LSEVL,LSE Ventures Limited,INV. BANKS / INV. COS. / SECURITIES COS.
LUCK,Lucky Cement Limited,CEMENT
MACFL,MACPAC Films Limited,"PAPER, BOARD & PACKAGING"
MACTER,Macter International Limited,PHARMACEUTICALS
MARI,Mari Energies Limited,OIL & GAS EXPLORATION COMPANIES
MCB,MCB Bank Limited,COMMERCIAL BANKS
MCBAH,MCB-Arif Habib Savings and Invest,INV. BANKS / INV. COS. / SECURITIES COS.
MCBIM,MCB Investment Management Limited.,INV. BANKS / INV. COS. / SECURITIES COS.
MDTL,Media Times Limited,TECHNOLOGY & COMMUNICATION
MDTM,Mehr Dastgir Textile Mills Limited,TEXTILE SPINNING
MEBL,Meezan Bank Limited,COMMERCIAL BANKS
MEHT,Mehmood Textile Mills Limited,TEXTILE COMPOSITE
MERIT,Merit Packaging Limited,"PAPER, BOARD & PACKAGING"
MERITR1,,"PAPER, BOARD & PACKAGING"
META,MetaTech Trading Limited,
