ticker,yahoo_ticker,total_debt,total_assets,accounts_receivable,non_compliant_investments,cash,total_revenue,interest_income,net_income,market_cap,current_price,shares_outstanding,long_business_summary,fetched_at
DCL,DCL.KA,,,,0.0,,,0.0,,3839018752.0,7.93,484113343.0,"DCL.KA,0P0000EDG0,2816658",2026-06-01T09:01:36.650326+00:00
DCM,DCM.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
DCR,DCR.KA,,74054969000.0,99100000.0,0.0,1790620000.0,5158597000.0,328051000.0,8140055000.0,36757762048.0,16.53,2223700000.0,Dolmen City REIT,2026-06-01T09:01:36.650326+00:00
DCTL,DCTL.KA,,,,0.0,,,0.0,,,0.08,,"DCTL.KA,0P0000C7Y5,0",2026-06-01T09:01:36.650326+00:00
DEL,DEL.KA,,,,0.0,,,0.0,,140250000.0,5.1,27500000.0,"DEL.KA,0P0000JDED,5400",2026-06-01T09:01:36.650326+00:00
DFML,DFML.KA,,,,0.0,,,0.0,,5586868736.0,40.27,138735242.0,"DFML.KA,0P0000BAFR,5065894",2026-06-01T09:01:36.650326+00:00
DFSM,DFSM.KA,,,,0.0,,,0.0,,326487424.0,3.34,97750726.0,"DFSM.KA,0P0000C966,206418",2026-06-01T09:01:36.650326+00:00
DGKC,DGKC.KA,17435308000.0,147831935000.0,956035000.0,0.0,972747000.0,71888079000.0,72644000.0,620898000.0,38554480640.0,88.0,438119118.0,D.G. Khan Cement Company Limited,2026-06-01T09:01:36.650326+00:00
DHPL,DHPL.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
DIIL,DIIL.KA,,,,0.0,,,0.0,,225270000.0,25.03,9000000.0,"DIIL.KA,0P0000BDA9,0",2026-06-01T09:01:36.650326+00:00
DINT,DINT.KA,,,,0.0,,,0.0,,3416634880.0,65.12,52466749.0,"DINT.KA,0P0000CEYR,0",2026-06-01T09:01:36.650326+00:00
DKL,DKL.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
DKTM,DKTM.KA,,,,0.0,,,0.0,,,0.94,,"DKTM.KA,0P0000BKIG,0",2026-06-01T09:01:36.650326+00:00
DLL,DLL.KA,0.0,43466629000.0,705495000.0,0.0,1489663000.0,7133513000.0,429305000.0,8673696000.0,14864683008.0,250.67,59299809.0,"DLL.KA,0P0000CGEF,314",2026-06-01T09:01:36.650326+00:00
DMC,DMC.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
DMIL,DMIL.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
DMTM,DMTM.KA,,,,0.0,,,0.0,,81042808.0,7.01,11561028.0,"DMTM.KA,0P0000CGGC,3103",2026-06-01T09:01:36.650326+00:00
DMTX,DMTX.KA,,,,0.0,,,0.0,,142579008.0,46.71,3052430.0,D.M. Corporation Limited,2026-06-01T09:01:36.650326+00:00
DNCC,DNCC.KA,,,,0.0,,,0.0,,4160069888.0,13.15,316355132.0,"DNCC.KA,0P0000C5WI,1803",2026-06-01T09:01:36.650326+00:00
DOL,DOL.KA,,,,0.0,,,0.0,,3551380992.0,20.29,175031084.0,Descon Oxychem Limited,2026-06-01T09:01:36.650326+00:00
